case_id,selection_group,module_title,module_code,module_level,module_department,staff_a_name,staff_a_job_title,staff_a_department,staff_b_name,staff_b_job_title,staff_b_department,recommendation_level,rank,collaboration_score,combined_module_coverage,best_individual_coverage,complementarity_gain,staff_topic_overlap_ratio,has_shared_foundation,shared_module_topics,staff_a_complementary_topics,staff_b_complementary_topics,explanation,staff_a_relevance,staff_b_relevance,complementary_expertise,explanation_clarity,practical_plausibility,overall_recommendation_quality,reviewer_comments
M4-011,moderate,MG5593 - International Business Ethics and Corporate Governance,MG5593,Postgraduate,Brunel Business School,Dr Asieh Hosseini Tabaghdehi,Senior Lecturer in Strategy & Business Economy,,Dr Haoyu Li,Lecturer in Accounting and Financial Management,,moderate,7,0.348460,48.4%,31.9%,16.5%,6.7%,yes,environmental sustainability,business ethic,corporate governance,"For the module 'MG5593 - International Business Ethics and Corporate Governance', Dr Asieh Hosseini Tabaghdehi and Dr Haoyu Li share relevant expertise in environmental sustainability. Dr Asieh Hosseini Tabaghdehi contributes business ethic and Dr Haoyu Li contributes corporate governance. Together, the pair covers approximately 48.4% of the weighted module topics, adding 16.5% coverage beyond the stronger individual candidate.",,,,,,,
M4-012,moderate,Psychology of Social Media,Psychology of Social Media,Undergraduate,Department of Life Sciences,Dr Magali Peyrefitte,Senior Lecturer in Criminology and Deviance,,Dr Timothy Cribbin,Senior Lecturer,,moderate,1,0.332053,46.7%,25.9%,20.8%,0.0%,no,,apply psychology; contemporary culture,social medium,"For the module 'Psychology of Social Media', Dr Magali Peyrefitte and Dr Timothy Cribbin provide complementary expertise. Dr Magali Peyrefitte contributes apply psychology and contemporary culture and Dr Timothy Cribbin contributes social medium. Together, the pair covers approximately 46.7% of the weighted module topics, adding 20.8% coverage beyond the stronger individual candidate.",,,,,,,
M4-013,moderate,LX5688 - Human Rights in Practice,LX5688,Postgraduate,Department of Social and Political Sciences,Dr Isobel Renzulli,Senior Lecturer in Law,,Dr Patricia Hobbs,Senior Lecturer in Public International Law,,moderate,2,0.348264,47.0%,32.2%,14.8%,11.8%,yes,,human right,international human right,"For the module 'LX5688 - Human Rights in Practice', Dr Isobel Renzulli and Dr Patricia Hobbs provide complementary expertise. Dr Isobel Renzulli contributes human right and Dr Patricia Hobbs contributes international human right. Together, the pair covers approximately 47.0% of the weighted module topics, adding 14.8% coverage beyond the stronger individual candidate.",,,,,,,
M4-014,moderate,MB5605 - Digital Transformation Strategy,MB5605,Postgraduate,Brunel Business School,Dr Namkyu Baik,Senior Lecturer (Education) in Digital Innovation,,Dr Wai Joyce Joyce Ko,"Head of Department - Strategy, Entrepreneurship, People and Global Management/ Reader - Strategic Entrepreneurship",,moderate,1,0.330277,47.5%,29.4%,18.1%,0.0%,no,,digital innovation,innovation management; digital transformation,"For the module 'MB5605 - Digital Transformation Strategy', Dr Namkyu Baik and Dr Wai Joyce Joyce Ko provide complementary expertise. Dr Namkyu Baik contributes digital innovation and Dr Wai Joyce Joyce Ko contributes innovation management and digital transformation. Together, the pair covers approximately 47.5% of the weighted module topics, adding 18.1% coverage beyond the stronger individual candidate.",,,,,,,
M4-015,moderate,LX3648 - International Law and Human Rights,LX3648,Undergraduate,Department of Social and Political Sciences,Dr Colin Luoma,Senior Lecturer in Law,,Dr Isobel Renzulli,Senior Lecturer in Law,,moderate,5,0.333987,49.8%,41.5%,8.3%,5.9%,yes,human right,cultural right,international law,"For the module 'LX3648 - International Law and Human Rights', Dr Colin Luoma and Dr Isobel Renzulli share relevant expertise in human right. Dr Colin Luoma contributes cultural right and Dr Isobel Renzulli contributes international law. Together, the pair covers approximately 49.8% of the weighted module topics, adding 8.3% coverage beyond the stronger individual candidate.",,,,,,,
M4-016,moderate,MB5604 - Managing Digital Technology and Innovation,MB5602,Postgraduate,Brunel Business School,Dr Marco Cuvero Calero,Senior Lecturer in Entrepreneurship and Strategy,,Dr Namkyu Baik,Senior Lecturer (Education) in Digital Innovation,,moderate,1,0.303019,43.0%,24.9%,18.0%,0.0%,no,,innovation management,digital innovation,"For the module 'MB5604 - Managing Digital Technology and Innovation', Dr Marco Cuvero Calero and Dr Namkyu Baik provide complementary expertise. Dr Marco Cuvero Calero contributes innovation management and Dr Namkyu Baik contributes digital innovation. Together, the pair covers approximately 43.0% of the weighted module topics, adding 18.0% coverage beyond the stronger individual candidate.",,,,,,,
M4-017,exploratory,"Manufacturing Systems, Design and Economics",tb,Postgraduate,Department of Mechanical and Aerospace Engineering,Dr Selami Cifter,Senior Lecturer,,Dr Bertrand Delpech,Lecturer in Mechanical Engineering,,exploratory,1,0.199324,24.9%,14.0%,10.9%,9.1%,yes,,design manufacturing,process engineering,"For the module 'Manufacturing Systems, Design and Economics', Dr Selami Cifter and Dr Bertrand Delpech provide complementary expertise. Dr Selami Cifter contributes design manufacturing and Dr Bertrand Delpech contributes process engineering. Together, the pair covers approximately 24.9% of the weighted module topics, adding 10.9% coverage beyond the stronger individual candidate.",,,,,,,
M4-018,exploratory,Social Media and Society,CO3xxx,Undergraduate,Department of Social and Political Sciences,Dr Charlotte Kerner,Senior Lecturer in Sport Health and Exercise Sciences,,Dr Magali Peyrefitte,Senior Lecturer in Criminology and Deviance,,exploratory,28,0.199972,29.0%,18.8%,10.3%,0.0%,no,,social medium,contemporary culture,"For the module 'Social Media and Society', Dr Charlotte Kerner and Dr Magali Peyrefitte provide complementary expertise. Dr Charlotte Kerner contributes social medium and Dr Magali Peyrefitte contributes contemporary culture. Together, the pair covers approximately 29.0% of the weighted module topics, adding 10.3% coverage beyond the stronger individual candidate.",,,,,,,
M4-019,exploratory,"EC3612 - Economics, Finance, and Accounting Project",EC3612,Undergraduate,"Department of Economics, Finance and Accounting",Dr Georgios Kolios,"Lecturer (Education) in Professional Development for Economics, Accounting and Finance",,Dr Qi Ai,Senior Lecturer in Strategy and International Business,,exploratory,11,0.199124,27.2%,20.6%,6.6%,7.7%,yes,corporate finance,economics accounting,,"For the module 'EC3612 - Economics, Finance, and Accounting Project', Dr Georgios Kolios and Dr Qi Ai share relevant expertise in corporate finance. Dr Georgios Kolios contributes economics accounting. Together, the pair covers approximately 27.2% of the weighted module topics, adding 6.6% coverage beyond the stronger individual candidate.",,,,,,,
M4-020,exploratory,Disorders of Perception and Movement Control,Disorders of Perception and Movement Control,Undergraduate,Department of Life Sciences,Dr Ashley Houlden,Lecturer in Biosciences,,Dr Ray Norbury,Senior Lecturer in Psychology,,exploratory,2,0.199630,27.7%,14.3%,13.4%,0.0%,no,,brain function,brain structure,"For the module 'Disorders of Perception and Movement Control', Dr Ashley Houlden and Dr Ray Norbury provide complementary expertise. Dr Ashley Houlden contributes brain function and Dr Ray Norbury contributes brain structure. Together, the pair covers approximately 27.7% of the weighted module topics, adding 13.4% coverage beyond the stronger individual candidate.",,,,,,,
M4-021,exploratory,LX5608 - International Human Rights and Islamic Law,LX5608,Postgraduate,Department of Social and Political Sciences,Dr Mohammad Nayyeri,Lecturer in Law,,Dr Stelios Andreadakis,Reader in Corporate and Financial Law,,exploratory,4,0.198570,25.1%,19.4%,5.8%,13.3%,yes,human right,law human right,,"For the module 'LX5608 - International Human Rights and Islamic Law', Dr Mohammad Nayyeri and Dr Stelios Andreadakis share relevant expertise in human right. Dr Mohammad Nayyeri contributes law human right. Together, the pair covers approximately 25.1% of the weighted module topics, adding 5.8% coverage beyond the stronger individual candidate.",,,,,,,
